execution_count,companyId,companyName,month
2,121,Facephi<>Peigo,2025-02
392,2032,Figueroa Merchan Jose Luis,2025-02
1415,1758,Finanza AI,2025-02
400,1937,Flexi,2025-02
86926,124,GEA Ecuador,2025-02
2,2012,GEOMIL,2025-02
7,1280,Gea Colombia,2025-02
1286,1925,INDI BCP,2025-02
2,368,Innovat Latam.,2025-02
309,1955,Italika,2025-02
779,1957,Jelou Banking,2025-02
635,135,Jelou Dev,2025-02
488,1944,Jelou Marketplace,2025-02
6483,361,Jelou Pay,2025-02
1684,331,Jelou Producto,2025-02
1,2033,Jelou Revenue,2025-02
554,322,Jelou Shop,2025-02
654,2025,KIVETI S.A.,2025-02
436,1266,Katherine del Carmen Ovando,2025-02
27371,1718,Kaufmann,2025-02
8,2005,Kuno Digital,2025-02
131,997,La Finestra SAS,2025-02
4,1988,La casa de los abuelos,2025-02
917,935,Lavca,2025-02
742,965,Livansud,2025-02
2,1798,Luz Verde Cobranza,2025-02
1453,258,Luzverde,2025-02
7476,404,MONGO'S,2025-02
3602,745,Mail Boxes Etc,2025-02
448,940,Mardis,2025-02
2792,1950,Marriott,2025-02
47220,405,Massline,2025-02
499,1648,Medexcard,2025-02
6,967,N5,2025-02
7,2019,NATURALESMEJOR S.A.,2025-02
1506,1482,Naturisa,2025-02
1211730,147,Netlife,2025-02
3,1914,Neuron,2025-02
2,1329,Nutrarte,2025-02
434,1962,Ondu Cloud,2025-02
2904,1480,Oriental,2025-02
1,1861,PLUVIALE,2025-02
57,1379,Pocket Tienda Prototipo,2025-02
2,1547,PopCornComunication,2025-02
2,2017,Punta Azul,2025-02
113744,54,Pycca,2025-02
1239,1903,Rabbit,2025-02
53,1633,SaludSA,2025-02
274853,123,Security Data,2025-02
534,1845,Seguros Confianza,2025-02
61,358,Seguros Liberty,2025-02
41,452,Seguros Pacífico,2025-02
39,1984,Semvra,2025-02
1140,1566,Siigo,2025-02
208,1811,Sistecrédito,2025-02
29792,1761,Solca,2025-02
78,1865,Start Co,2025-02
1124,1641,Supreme,2025-02
377,1641,Supreme Ventures,2025-02
312,1384,Talento Humano,2025-02
689,1844,Tienda Branchos,2025-02
108,1946,Total Education Program,2025-02
3566,183,Tracklink,2025-02
1067,1880,TransSky,2025-02
2,2001,TransSky Cobranzas,2025-02
1559,1953,TuSupperAhorro,2025-02
10058,823,Tuenti POC,2025-02
25847,1890,Tuenti Vendedores,2025-02
91,807,Universidad de las Artes,2025-02
114302,95,Veris,2025-02
7,2006,Viamatica,2025-02
2,1942,Viaxperta,2025-02
16,1860,Vitapro,2025-02
213,1133,Vivalia,2025-02
2013,1696,XTRIM,2025-02
132,353,Yomp,2025-02
1372,1964,ZHM Seguros,2025-02
14,312,ABInBev Colombia,2025-03
29,1102,Agritop,2025-03
6,1562,Aldeamo,2025-03
19,1642,Alianza del Valle,2025-03
278,2031,Alpha Trading,2025-03
297,462,Ambiente QA,2025-03
146,1896,Arca Continental Argentina,2025-03
145346,362,Arca PE,2025-03
165,1068,Arca PE Ecommerce,2025-03
21875,470,Arca PE Proyecto Frío,2025-03
4,1940,Arca camiones,2025-03
288,1849,Arca movil,2025-03
27,317,Aurea,2025-03
7,1639,Automation QA Test,2025-03
1057,2183,Automekano,2025-03
32,1974,BCP Cobranza,2025-03
74,2156,BCP Cuenta Sueldo,2025-03
1447,1973,BCP Sendsei,2025-03
12903,1245,BG - Banco del Barrio 2,2025-03
16937,741,Bajaj,2025-03
31,930,Banco Bolivariano Cobranzas,2025-03
14479,1584,Banco Comercial Manabí,2025-03
51,1993,Banco Delta,2025-03
2168941,155,Banco Guayaquil,2025-03
2486,1737,Banco Union,2025-03
172,133,Banco del Austro,2025-03
42721,417,Banisi,2025-03
127002,692,Banisi Chat,2025-03
426,2010,Base Pocket Account,2025-03
151,2079,Borja Cedeño Olga Raquel,2025-03
326,1649,Bruno,2025-03
45,2047,CBC,2025-03
7319,1848,CIVE,2025-03
1,1373,Califik,2025-03
65,2111,Calle Tenorio Jorge David,2025-03
27,316,CasaPlan MotorPlan,2025-03
34374,138,Cervecería Nacional,2025-03
503,1898,Cibernetica,2025-03
26,1847,Ck Comercializadora,2025-03
90056,1559,Coca Cola en tu hogar,2025-03
546,2049,Conauto,2025-03
114,1992,Contapro BCP,2025-03
3232,1694,Cooperativa Daquilema,2025-03
39111,855,Cooperativa El Sagrario,2025-03
16,1881,Cooperativa Policía Nacional,2025-03
17,2130,Cresa,2025-03
4,1808,Daiesa,2025-03
978,1760,Danec,2025-03
637,35,Datafast,2025-03
98,1926,Datilmedia S.A.,2025-03
285269,150,Deprati,2025-03
39,1602,Descuentos y Beneficios,2025-03
1514,5,DevLab,2025-03
93,1512,Dialogus,2025-03
722,110,Dipaso,2025-03
21,1304,Doctorio,2025-03
1110,2073,Donutterapia,2025-03
435,1945,Duragas,2025-03
161,1053,EclipSoft,2025-03
28,2110,Ecugenius S.A.,2025-03
9,28,El Rosado,2025-03
1,1160,Expand,2025-03
635,1951,FPV Seguros,2025-03
129,121,Facephi<>Peigo,2025-03
1614,2032,Figueroa Merchan Jose Luis,2025-03
2909,1758,Finanza AI,2025-03
2669,1937,Flexi,2025-03
120617,124,GEA Ecuador,2025-03
2,1280,Gea Colombia,2025-03
146,148,Generali,2025-03
230,2095,Gigmax,2025-03
322,2100,Holaenfermera-Ec S.A.S.,2025-03
1325,1925,INDI BCP,2025-03
9,368,Innovat Latam.,2025-03
40,2139,Intervalores,2025-03
542,1955,Italika,2025-03
1033,1957,Jelou Banking,2025-03
385,135,Jelou Dev,2025-03
592,1944,Jelou Marketplace,2025-03
6502,361,Jelou Pay,2025-03
662,331,Jelou Producto,2025-03
29,2033,Jelou Revenue,2025-03
488,322,Jelou Shop,2025-03
8,1044,Jelou Ventas,2025-03
171,288,Junta de Beneficencia,2025-03
194,2025,KIVETI S.A.,2025-03
278,1266,Katherine del Carmen Ovando,2025-03
20210,1718,Kaufmann,2025-03
70,997,La Finestra SAS,2025-03
962,935,Lavca,2025-03
939,965,Livansud,2025-03
44,2053,Lopez Lopez Jaime Fernando,2025-03
632,2125,Lotería Nacional EC,2025-03
1467,258,Luzverde,2025-03
125,2044,M&C Travel S.A,2025-03
