execution_count,companyId,companyName,week_end_sunday,MARKETING,UTILITY,AUTHENTICATION,dau_count,unique_users_count,connect_licenses,signups,self_service,enterprise,other_plans
11.0,1844,Tienda Branchos,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1847,Ck Comercializadora,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492.0,1848,CIVE,2025-01-05,0.0,0.0,0.0,65.0,63.0,0.0,0.0,0.0,0.0,0.0
3.0,1860,Vitapro,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,1865,Start Co,2025-01-05,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
29.0,1880,TransSky,2025-01-05,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
371.0,1890,Tuenti Vendedores,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1896,Arca Continental Argentina,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174.0,1903,Rabbit,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,1925,INDI BCP,2025-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,1953,TuSupperAhorro,2025-01-05,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
58.0,1957,Jelou Banking,2025-01-05,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
158.0,5,DevLab,2025-01-12,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0
26.0,35,Datafast,2025-01-12,0.0,0.0,0.0,152.0,139.0,0.0,4.0,0.0,4.0,0.0
22418.0,54,Pycca,2025-01-12,0.0,0.0,0.0,638.0,586.0,0.0,4.0,0.0,4.0,0.0
42335.0,95,Veris,2025-01-12,0.0,0.0,0.0,2103.0,1852.0,0.0,4.0,0.0,4.0,0.0
0.0,121,Unknown,2025-01-12,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,4.0,0.0
679.0,124,GEA Ecuador,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
96.0,135,Jelou Dev,2025-01-12,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0
8830.0,138,Cervecería Nacional,2025-01-12,0.0,0.0,0.0,1781.0,1469.0,0.0,4.0,0.0,4.0,0.0
153.0,147,Netlife,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
58837.0,150,Deprati,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
522330.0,155,Banco Guayaquil,2025-01-12,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,4.0,0.0
419.0,258,Luzverde,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
0.0,316,Unknown,2025-01-12,0.0,0.0,0.0,40.0,40.0,0.0,4.0,0.0,4.0,0.0
8.0,317,Aurea,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
122.0,322,Jelou Shop,2025-01-12,0.0,0.0,0.0,15.0,11.0,0.0,4.0,0.0,4.0,0.0
102.0,331,Jelou Producto,2025-01-12,0.0,0.0,0.0,27.0,20.0,0.0,4.0,0.0,4.0,0.0
26.0,353,Yomp,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
1468.0,361,Jelou Pay,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
22124.0,362,Arca PE,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
11.0,368,Innovat Latam.,2025-01-12,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,4.0,0.0
1.0,382,Team APPS,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
1274.0,404,MONGO'S,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
11457.0,405,Massline,2025-01-12,0.0,0.0,0.0,19.0,19.0,0.0,4.0,0.0,4.0,0.0
15.0,452,Seguros Pacífico,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
2172.0,470,Arca PE Proyecto Frío,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
11339.0,692,Banisi Chat,2025-01-12,0.0,0.0,0.0,1834.0,1680.0,0.0,4.0,0.0,4.0,0.0
23.0,745,Mail Boxes Etc,2025-01-12,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0
47.0,748,Arca MX Ecommerce,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
16.0,807,Universidad de las Artes,2025-01-12,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0
1503.0,823,Tuenti POC,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
62.0,930,Banco Bolivariano Cobranzas,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
271.0,935,Lavca,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
95.0,940,Mardis,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
282.0,965,Livansud,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
1.0,967,N5,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
3.0,997,La Finestra SAS,2025-01-12,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0
4.0,1044,Jelou Ventas,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
6.0,1053,EclipSoft,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
10.0,1102,Agritop,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
8355.0,1245,BG - Banco del Barrio 2,2025-01-12,0.0,0.0,0.0,1733.0,1482.0,0.0,4.0,0.0,4.0,0.0
2.0,1266,Katherine del Carmen Ovando,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
47.0,1280,Gea Colombia,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
11.0,1329,Nutrarte,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
33.0,1379,Pocket Tienda Prototipo,2025-01-12,0.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,4.0,0.0
70.0,1384,Talento Humano,2025-01-12,0.0,0.0,0.0,19.0,16.0,0.0,4.0,0.0,4.0,0.0
518.0,1480,Oriental,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
785.0,1482,Naturisa,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
6.0,1507,Michael’s Delivery,2025-01-12,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,4.0,0.0
11592.0,1559,Coca Cola en tu hogar,2025-01-12,0.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,4.0,0.0
10.0,1562,Aldeamo,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
11.0,1566,Siigo,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
2.0,1569,CANTEC,2025-01-12,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0
854.0,1584,Banco Comercial Manabí,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
89.0,1602,Descuentos y Beneficios,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
19.0,1639,Automation QA Test,2025-01-12,0.0,0.0,0.0,6.0,4.0,0.0,4.0,0.0,4.0,0.0
11.0,1641,Supreme,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
5.0,1648,Medexcard,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
12.0,1649,Bruno,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
105.0,1652,Expoplaza,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
1006.0,1694,Cooperativa Daquilema,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
719.0,1696,XTRIM,2025-01-12,0.0,0.0,0.0,5.0,2.0,0.0,4.0,0.0,4.0,0.0
6265.0,1718,Kaufmann,2025-01-12,0.0,0.0,0.0,633.0,614.0,0.0,4.0,0.0,4.0,0.0
66.0,1737,Banco Union,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
253.0,1743,Distrikia,2025-01-12,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0
34.0,1758,Finanza AI,2025-01-12,0.0,0.0,0.0,14.0,5.0,0.0,4.0,0.0,4.0,0.0
13772.0,1760,Danec,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
6693.0,1761,Solca,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
172.0,1794,ARCA ARG,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
6.0,1798,Luz Verde Cobranza,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
71.0,1811,Sistecrédito,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
7.0,1845,Seguros Confianza,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
28.0,1847,Ck Comercializadora,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
1357.0,1848,CIVE,2025-01-12,0.0,0.0,0.0,159.0,155.0,0.0,4.0,0.0,4.0,0.0
76.0,1860,Vitapro,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
5.0,1865,Start Co,2025-01-12,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,4.0,0.0
445.0,1880,TransSky,2025-01-12,0.0,0.0,0.0,10.0,10.0,0.0,4.0,0.0,4.0,0.0
3.0,1881,Cooperativa Policía Nacional,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
659.0,1890,Tuenti Vendedores,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
445.0,1903,Rabbit,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
180.0,1925,INDI BCP,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
2.0,1926,Datilmedia S.A.,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
28.0,1937,Flexi,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
62.0,1944,Jelou Marketplace,2025-01-12,0.0,0.0,0.0,5.0,3.0,0.0,4.0,0.0,4.0,0.0
75.0,1945,Duragas,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
105.0,1946,Total Education Program,2025-01-12,0.0,0.0,0.0,7.0,4.0,0.0,4.0,0.0,4.0,0.0
118.0,1950,Marriott,2025-01-12,0.0,0.0,0.0,12.0,8.0,0.0,4.0,0.0,4.0,0.0
9.0,1951,FPV Seguros,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
24.0,1953,TuSupperAhorro,2025-01-12,0.0,0.0,0.0,8.0,8.0,0.0,4.0,0.0,4.0,0.0
643.0,1957,Jelou Banking,2025-01-12,0.0,0.0,0.0,19.0,10.0,0.0,4.0,0.0,4.0,0.0
81.0,1960,Cámara de construcción de Guayaquil,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
175.0,1964,ZHM Seguros,2025-01-12,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
208.0,5,DevLab,2025-01-19,0.0,0.0,0.0,2.0,2.0,0.0,7.0,0.0,7.0,0.0
13.0,11,BdP,2025-01-19,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
